Year,Size,Distance,Demand (km)
2023,S1,D1,869181
2023,S1,D2,2597094
2023,S1,D3,3292011
2023,S1,D4,414315
2023,S2,D1,995694
2023,S2,D2,1383196
2023,S2,D3,778008
2023,S2,D4,133677
2023,S4,D1,14576
2023,S4,D2,754717
2023,S4,D3,118899
2023,S4,D4,1809
2023,S3,D1,2183475
2023,S3,D2,2431901
2023,S3,D3,1002466
2023,S3,D4,205426
2024,S1,D1,877242
2024,S1,D2,2716195
2024,S1,D3,3336604
2024,S1,D4,419981
2024,S2,D1,1043209
2024,S2,D2,1391987
2024,S2,D3,807076
2024,S2,D4,133712
2024,S4,D1,15200
2024,S4,D2,780979
2024,S4,D3,122186
2024,S4,D4,1893
2024,S3,D1,2239440
2024,S3,D2,2453497
2024,S3,D3,1029375
2024,S3,D4,208440
2025,S1,D1,877707
2025,S1,D2,2836223
2025,S1,D3,3446113
2025,S1,D4,439767
2025,S2,D1,1082065
2025,S2,D2,1410584
2025,S2,D3,821678
2025,S2,D4,137231
2025,S4,D1,15615
2025,S4,D2,791079
2025,S4,D3,123252
2025,S4,D4,1927
2025,S3,D1,2255136
2025,S3,D2,2501227
2025,S3,D3,1053662
2025,S3,D4,218537
2026,S1,D1,884095
2026,S1,D2,2909150
2026,S1,D3,3537030
2026,S1,D4,446478
2026,S2,D1,1090703
2026,S2,D2,1452683
2026,S2,D3,825939
2026,S2,D4,141128
2026,S4,D1,15916
2026,S4,D2,794430
2026,S4,D3,126715
2026,S4,D4,1989
2026,S3,D1,2329773
2026,S3,D2,2524893
2026,S3,D3,1103927
2026,S3,D4,219181
2027,S1,D1,923004
2027,S1,D2,3023153
2027,S1,D3,3581681
2027,S1,D4,467174
2027,S2,D1,1114957
2027,S2,D2,1480077
2027,S2,D3,862851
2027,S2,D4,146448
2027,S4,D1,16532
2027,S4,D2,829347
2027,S4,D3,129765
2027,S4,D4,2019
2027,S3,D1,2381369
2027,S3,D2,2591566
2027,S3,D3,1137494
2027,S3,D4,224937
2028,S1,D1,968137
2028,S1,D2,3114155
2028,S1,D3,3731269
2028,S1,D4,469168
2028,S2,D1,1142178
2028,S2,D2,1546703
2028,S2,D3,902415
2028,S2,D4,148036
2028,S4,D1,16863
2028,S4,D2,851953
2028,S4,D3,133929
2028,S4,D4,2066
2028,S3,D1,2448472
2028,S3,D2,2667924
2028,S3,D3,1155329
2028,S3,D4,233462
2029,S1,D1,1009629
2029,S1,D2,3188349
2029,S1,D3,3892298
2029,S1,D4,484671
2029,S2,D1,1173616
2029,S2,D2,1608555
2029,S2,D3,916617
2029,S2,D4,148322
2029,S4,D1,17544
2029,S4,D2,885863
2029,S4,D3,135803
2029,S4,D4,2113
2029,S3,D1,2497153
2029,S3,D2,2795108
2029,S3,D3,1175528
2029,S3,D4,234155
2030,S1,D1,1009798
2030,S1,D2,3285854
2030,S1,D3,3959514
2030,S1,D4,496273
2030,S2,D1,1231293
2030,S2,D2,1624238
2030,S2,D3,931478
2030,S2,D4,155565
2030,S4,D1,18168
2030,S4,D2,919290
2030,S4,D3,136344
2030,S4,D4,2114
2030,S3,D1,2518188
2030,S3,D2,2800498
2030,S3,D3,1216569
2030,S3,D4,240767
2031,S1,D1,1042251
2031,S1,D2,3310718
2031,S1,D3,4061449
2031,S1,D4,518651
2031,S2,D1,1240402
2031,S2,D2,1689196
2031,S2,D3,943472
2031,S2,D4,161977
2031,S4,D1,18747
2031,S4,D2,941960
2031,S4,D3,139696
2031,S4,D4,2198
2031,S3,D1,2619164
2031,S3,D2,2814164
2031,S3,D3,1234148
2031,S3,D4,242813
2032,S1,D1,1069740
2032,S1,D2,3430934
2032,S1,D3,4237026
2032,S1,D4,542921
2032,S2,D1,1257890
2032,S2,D2,1759215
2032,S2,D3,980430
2032,S2,D4,163126
2032,S4,D1,19298
2032,S4,D2,967461
2032,S4,D3,141391
2032,S4,D4,2230
2032,S3,D1,2708133
2032,S3,D2,2863674
2032,S3,D3,1254261
2032,S3,D4,250479
2033,S1,D1,1070915
2033,S1,D2,3491886
2033,S1,D3,4290083
2033,S1,D4,563313
2033,S2,D1,1283026
2033,S2,D2,1790314
2033,S2,D3,1007259
2033,S2,D4,168141
2033,S4,D1,19951
2033,S4,D2,1013174
2033,S4,D3,146270
2033,S4,D4,2236
2033,S3,D1,2820991
2033,S3,D2,2974170
2033,S3,D3,1270139
2033,S3,D4,262313
2034,S1,D1,1080198
2034,S1,D2,3606840
2034,S1,D3,4474763
2034,S1,D4,575445
2034,S2,D1,1344795
2034,S2,D2,1869435
2034,S2,D3,1043936
2034,S2,D4,169472
2034,S4,D1,20807
2034,S4,D2,1057133
2034,S4,D3,146333
2034,S4,D4,2280
2034,S3,D1,2832153
2034,S3,D2,3096840
2034,S3,D3,1320768
2034,S3,D4,273053
2035,S1,D1,1106719
2035,S1,D2,3746146
2035,S1,D3,4476447
2035,S1,D4,588196
2035,S2,D1,1350533
2035,S2,D2,1934621
2035,S2,D3,1053870
2035,S2,D4,176929
2035,S4,D1,21666
2035,S4,D2,1107787
2035,S4,D3,147590
2035,S4,D4,2369
2035,S3,D1,2908543
2035,S3,D2,3247401
2035,S3,D3,1360337
2035,S3,D4,274741
2036,S1,D1,1143702
2036,S1,D2,3821393
2036,S1,D3,4599217
2036,S1,D4,602557
2036,S2,D1,1388729
2036,S2,D2,1982301
2036,S2,D3,1103197
2036,S2,D4,180140
2036,S4,D1,22740
2036,S4,D2,1134238
2036,S4,D3,151090
2036,S4,D4,2412
2036,S3,D1,2983351
2036,S3,D2,3269872
2036,S3,D3,1377326
2036,S3,D4,280914
2037,S1,D1,1196265
2037,S1,D2,3953052
2037,S1,D3,4663966
2037,S1,D4,630092
2037,S2,D1,1402031
2037,S2,D2,2079105
2037,S2,D3,1131832
2037,S2,D4,186733
2037,S4,D1,23254
2037,S4,D2,1146520
2037,S4,D3,156518
2037,S4,D4,2414
2037,S3,D1,3128820
2037,S3,D2,3274991
