ID,Fuel,Consumption (unit_fuel/km)
BEV_S1_2023,Electricity,0.893043
BEV_S1_2024,Electricity,0.893043
BEV_S1_2025,Electricity,0.893043
BEV_S1_2026,Electricity,0.893043
BEV_S1_2027,Electricity,0.868161
BEV_S1_2028,Electricity,0.868161
BEV_S1_2029,Electricity,0.868161
BEV_S1_2030,Electricity,0.868161
BEV_S1_2031,Electricity,0.868161
BEV_S1_2032,Electricity,0.868161
BEV_S1_2033,Electricity,0.868161
BEV_S1_2034,Electricity,0.868161
BEV_S1_2035,Electricity,0.868161
BEV_S1_2036,Electricity,0.868161
BEV_S1_2037,Electricity,0.868161
BEV_S1_2038,Electricity,0.868161
Diesel_S1_2023,B20,0.223016
Diesel_S1_2024,B20,0.223016
Diesel_S1_2025,B20,0.223016
Diesel_S1_2026,B20,0.223016
Diesel_S1_2027,B20,0.223016
Diesel_S1_2028,B20,0.223016
Diesel_S1_2029,B20,0.223016
Diesel_S1_2030,B20,0.223016
Diesel_S1_2031,B20,0.223016
Diesel_S1_2032,B20,0.223016
Diesel_S1_2033,B20,0.223016
Diesel_S1_2034,B20,0.223016
Diesel_S1_2035,B20,0.223016
Diesel_S1_2036,B20,0.223016
Diesel_S1_2037,B20,0.223016
Diesel_S1_2038,B20,0.223016
Diesel_S1_2023,HVO,0.223016
Diesel_S1_2024,HVO,0.223016
Diesel_S1_2025,HVO,0.223016
Diesel_S1_2026,HVO,0.223016
Diesel_S1_2027,HVO,0.223016
Diesel_S1_2028,HVO,0.223016
Diesel_S1_2029,HVO,0.223016
Diesel_S1_2030,HVO,0.223016
Diesel_S1_2031,HVO,0.223016
Diesel_S1_2032,HVO,0.223016
Diesel_S1_2033,HVO,0.223016
Diesel_S1_2034,HVO,0.223016
Diesel_S1_2035,HVO,0.223016
Diesel_S1_2036,HVO,0.223016
Diesel_S1_2037,HVO,0.223016
Diesel_S1_2038,HVO,0.223016
LNG_S1_2023,LNG,0.165507
LNG_S1_2024,LNG,0.165507
LNG_S1_2025,LNG,0.165507
LNG_S1_2026,LNG,0.164681
LNG_S1_2027,LNG,0.161965
LNG_S1_2028,LNG,0.157457
LNG_S1_2029,LNG,0.154735
LNG_S1_2030,LNG,0.154735
LNG_S1_2031,LNG,0.154735
LNG_S1_2032,LNG,0.154735
LNG_S1_2033,LNG,0.154735
LNG_S1_2034,LNG,0.154735
LNG_S1_2035,LNG,0.154735
LNG_S1_2036,LNG,0.154735
LNG_S1_2037,LNG,0.154735
LNG_S1_2038,LNG,0.154735
LNG_S1_2023,BioLNG,0.165159
LNG_S1_2024,BioLNG,0.165159
LNG_S1_2025,BioLNG,0.165159
LNG_S1_2026,BioLNG,0.1632
LNG_S1_2027,BioLNG,0.159467
LNG_S1_2028,BioLNG,0.15574
LNG_S1_2029,BioLNG,0.154381
LNG_S1_2030,BioLNG,0.154381
LNG_S1_2031,BioLNG,0.154381
LNG_S1_2032,BioLNG,0.154381
LNG_S1_2033,BioLNG,0.154381
LNG_S1_2034,BioLNG,0.154381
LNG_S1_2035,BioLNG,0.154381
LNG_S1_2036,BioLNG,0.154381
LNG_S1_2037,BioLNG,0.154381
LNG_S1_2038,BioLNG,0.154381
BEV_S2_2023,Electricity,0.8968
BEV_S2_2024,Electricity,0.8968
BEV_S2_2025,Electricity,0.8968
BEV_S2_2026,Electricity,0.8968
BEV_S2_2027,Electricity,0.85459
BEV_S2_2028,Electricity,0.85459
BEV_S2_2029,Electricity,0.85459
BEV_S2_2030,Electricity,0.85459
BEV_S2_2031,Electricity,0.85459
BEV_S2_2032,Electricity,0.85459
BEV_S2_2033,Electricity,0.85459
BEV_S2_2034,Electricity,0.85459
BEV_S2_2035,Electricity,0.85459
BEV_S2_2036,Electricity,0.85459
BEV_S2_2037,Electricity,0.85459
BEV_S2_2038,Electricity,0.85459
Diesel_S2_2023,B20,0.223852
Diesel_S2_2024,B20,0.223852
Diesel_S2_2025,B20,0.223852
Diesel_S2_2026,B20,0.223852
Diesel_S2_2027,B20,0.223852
Diesel_S2_2028,B20,0.223852
Diesel_S2_2029,B20,0.223852
Diesel_S2_2030,B20,0.223852
Diesel_S2_2031,B20,0.223852
Diesel_S2_2032,B20,0.223852
Diesel_S2_2033,B20,0.223852
Diesel_S2_2034,B20,0.223852
Diesel_S2_2035,B20,0.223852
Diesel_S2_2036,B20,0.223852
Diesel_S2_2037,B20,0.223852
Diesel_S2_2038,B20,0.223852
Diesel_S2_2023,HVO,0.223852
Diesel_S2_2024,HVO,0.223852
Diesel_S2_2025,HVO,0.223852
Diesel_S2_2026,HVO,0.223852
Diesel_S2_2027,HVO,0.223852
Diesel_S2_2028,HVO,0.223852
Diesel_S2_2029,HVO,0.223852
Diesel_S2_2030,HVO,0.223852
Diesel_S2_2031,HVO,0.223852
Diesel_S2_2032,HVO,0.223852
Diesel_S2_2033,HVO,0.223852
Diesel_S2_2034,HVO,0.223852
Diesel_S2_2035,HVO,0.223852
Diesel_S2_2036,HVO,0.223852
Diesel_S2_2037,HVO,0.223852
Diesel_S2_2038,HVO,0.223852
LNG_S2_2023,LNG,0.165239
LNG_S2_2024,LNG,0.165239
LNG_S2_2025,LNG,0.165239
LNG_S2_2026,LNG,0.163257
LNG_S2_2027,LNG,0.162463
LNG_S2_2028,LNG,0.155829
LNG_S2_2029,LNG,0.155767
LNG_S2_2030,LNG,0.155767
LNG_S2_2031,LNG,0.155767
LNG_S2_2032,LNG,0.155767
LNG_S2_2033,LNG,0.155767
LNG_S2_2034,LNG,0.155767
LNG_S2_2035,LNG,0.155767
LNG_S2_2036,LNG,0.155767
LNG_S2_2037,LNG,0.155767
LNG_S2_2038,LNG,0.155767
LNG_S2_2023,BioLNG,0.167185
LNG_S2_2024,BioLNG,0.167185
LNG_S2_2025,BioLNG,0.167185
LNG_S2_2026,BioLNG,0.164643
LNG_S2_2027,BioLNG,0.161171
LNG_S2_2028,BioLNG,0.158367
LNG_S2_2029,BioLNG,0.155039
LNG_S2_2030,BioLNG,0.155039
LNG_S2_2031,BioLNG,0.155039
LNG_S2_2032,BioLNG,0.155039
LNG_S2_2033,BioLNG,0.155039
LNG_S2_2034,BioLNG,0.155039
LNG_S2_2035,BioLNG,0.155039
LNG_S2_2036,BioLNG,0.155039
LNG_S2_2037,BioLNG,0.155039
LNG_S2_2038,BioLNG,0.155039
BEV_S4_2023,Electricity,0.900664
BEV_S4_2024,Electricity,0.900664
BEV_S4_2025,Electricity,0.900664
BEV_S4_2026,Electricity,0.900664
BEV_S4_2027,Electricity,0.856448
BEV_S4_2028,Electricity,0.856448
BEV_S4_2029,Electricity,0.856448
BEV_S4_2030,Electricity,0.856448
BEV_S4_2031,Electricity,0.856448
BEV_S4_2032,Electricity,0.856448
BEV_S4_2033,Electricity,0.856448
BEV_S4_2034,Electricity,0.856448
BEV_S4_2035,Electricity,0.856448
BEV_S4_2036,Electricity,0.856448
BEV_S4_2037,Electricity,0.856448
BEV_S4_2038,Electricity,0.856448
Diesel_S4_2023,B20,0.219827
Diesel_S4_2024,B20,0.219827
Diesel_S4_2025,B20,0.219827
Diesel_S4_2026,B20,0.219827
Diesel_S4_2027,B20,0.219827
Diesel_S4_2028,B20,0.219827
Diesel_S4_2029,B20,0.219827
Diesel_S4_2030,B20,0.219827
Diesel_S4_2031,B20,0.219827
Diesel_S4_2032,B20,0.219827
Diesel_S4_2033,B20,0.219827
Diesel_S4_2034,B20,0.219827
Diesel_S4_2035,B20,0.219827
Diesel_S4_2036,B20,0.219827
Diesel_S4_2037,B20,0.219827
Diesel_S4_2038,B20,0.219827
Diesel_S4_2023,HVO,0.219827
Diesel_S4_2024,HVO,0.219827
Diesel_S4_2025,HVO,0.219827
Diesel_S4_2026,HVO,0.219827
Diesel_S4_2027,HVO,0.219827
Diesel_S4_2028,HVO,0.219827
Diesel_S4_2029,HVO,0.219827
Diesel_S4_2030,HVO,0.219827
Diesel_S4_2031,HVO,0.219827
Diesel_S4_2032,HVO,0.219827
Diesel_S4_2033,HVO,0.219827
Diesel_S4_2034,HVO,0.219827
Diesel_S4_2035,HVO,0.219827
Diesel_S4_2036,HVO,0.219827
Diesel_S4_2037,HVO,0.219827
Diesel_S4_2038,HVO,0.219827
LNG_S4_2023,LNG,0.167274
LNG_S4_2024,LNG,0.167274
LNG_S4_2025,LNG,0.167274
LNG_S4_2026,LNG,0.164513
LNG_S4_2027,LNG,0.162424
LNG_S4_2028,LNG,0.157769
LNG_S4_2029,LNG,0.154278
LNG_S4_2030,LNG,0.154278
LNG_S4_2031,LNG,0.154278
LNG_S4_2032,LNG,0.154278
LNG_S4_2033,LNG,0.154278
LNG_S4_2034,LNG,0.154278
LNG_S4_2035,LNG,0.154278
LNG_S4_2036,LNG,0.154278
LNG_S4_2037,LNG,0.154278
LNG_S4_2038,LNG,0.154278
LNG_S4_2023,BioLNG,0.166088
LNG_S4_2024,BioLNG,0.166088
LNG_S4_2025,BioLNG,0.166088
LNG_S4_2026,BioLNG,0.164154
LNG_S4_2027,BioLNG,0.160223
LNG_S4_2028,BioLNG,0.155978
LNG_S4_2029,BioLNG,0.154568
LNG_S4_2030,BioLNG,0.154568
LNG_S4_2031,BioLNG,0.154568
LNG_S4_2032,BioLNG,0.154568
LNG_S4_2033,BioLNG,0.154568
LNG_S4_2034,BioLNG,0.154568
LNG_S4_2035,BioLNG,0.154568
LNG_S4_2036,BioLNG,0.154568
LNG_S4_2037,BioLNG,0.154568
LNG_S4_2038,BioLNG,0.154568
BEV_S3_2023,Electricity,0.898003
BEV_S3_2024,Electricity,0.898003
BEV_S3_2025,Electricity,0.898003
BEV_S3_2026,Electricity,0.898003
BEV_S3_2027,Electricity,0.859516
BEV_S3_2028,Electricity,0.859516
BEV_S3_2029,Electricity,0.859516
BEV_S3_2030,Electricity,0.859516
BEV_S3_2031,Electricity,0.859516
BEV_S3_2032,Electricity,0.859516
BEV_S3_2033,Electricity,0.859516
BEV_S3_2034,Electricity,0.859516
BEV_S3_2035,Electricity,0.859516
BEV_S3_2036,Electricity,0.859516
BEV_S3_2037,Electricity,0.859516
BEV_S3_2038,Electricity,0.859516
Diesel_S3_2023,B20,0.224082
Diesel_S3_2024,B20,0.224082
Diesel_S3_2025,B20,0.224082
Diesel_S3_2026,B20,0.224082
Diesel_S3_2027,B20,0.224082
Diesel_S3_2028,B20,0.224082
Diesel_S3_2029,B20,0.224082
Diesel_S3_2030,B20,0.224082
Diesel_S3_2031,B20,0.224082
Diesel_S3_2032,B20,0.224082
Diesel_S3_2033,B20,0.224082
Diesel_S3_2034,B20,0.224082
Diesel_S3_2035,B20,0.224082
Diesel_S3_2036,B20,0.224082
Diesel_S3_2037,B20,0.224082
Diesel_S3_2038,B20,0.224082
Diesel_S3_2023,HVO,0.224082
Diesel_S3_2024,HVO,0.224082
Diesel_S3_2025,HVO,0.224082
Diesel_S3_2026,HVO,0.224082
Diesel_S3_2027,HVO,0.224082
Diesel_S3_2028,HVO,0.224082
Diesel_S3_2029,HVO,0.224082
Diesel_S3_2030,HVO,0.224082
Diesel_S3_2031,HVO,0.224082
Diesel_S3_2032,HVO,0.224082
Diesel_S3_2033,HVO,0.224082
Diesel_S3_2034,HVO,0.224082
Diesel_S3_2035,HVO,0.224082
Diesel_S3_2036,HVO,0.224082
Diesel_S3_2037,HVO,0.224082
Diesel_S3_2038,HVO,0.224082
LNG_S3_2023,LNG,0.164823
LNG_S3_2024,LNG,0.164823
LNG_S3_2025,LNG,0.164823
LNG_S3_2026,LNG,0.164047
LNG_S3_2027,LNG,0.161089
LNG_S3_2028,LNG,0.156388
LNG_S3_2029,LNG,0.153945
LNG_S3_2030,LNG,0.153945
LNG_S3_2031,LNG,0.153945
LNG_S3_2032,LNG,0.153945
LNG_S3_2033,LNG,0.153945
LNG_S3_2034,LNG,0.153945
LNG_S3_2035,LNG,0.153945
LNG_S3_2036,LNG,0.153945
LNG_S3_2037,LNG,0.153945
LNG_S3_2038,LNG,0.153945
LNG_S3_2023,BioLNG,0.164684
LNG_S3_2024,BioLNG,0.164684
LNG_S3_2025,BioLNG,0.164684
LNG_S3_2026,BioLNG,0.164223
LNG_S3_2027,BioLNG,0.160634
LNG_S3_2028,BioLNG,0.155696
LNG_S3_2029,BioLNG,0.155192
LNG_S3_2030,BioLNG,0.155192
LNG_S3_2031,BioLNG,0.155192
LNG_S3_2032,BioLNG,0.155192
LNG_S3_2033,BioLNG,0.155192
LNG_S3_2034,BioLNG,0.155192
LNG_S3_2035,BioLNG,0.155192
LNG_S3_2036,BioLNG,0.155192
LNG_S3_2037,BioLNG,0.155192
LNG_S3_2038,BioLNG,0.155192
